Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child CPS,Child Justice,Child Welfare,Parent Demographics,Parent Welfare,Perp Demographics,Perp Welfare,All CPS,All Health
1863,3127,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1864,712,18-29,High School,,transfemale,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair
1865,2384,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Fair,Fair
1866,2460,40-49,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Fair,Somewhat Fair,Neutral,Somewhat Unfair,Unfair,Unfair,Neutral,Unfair,Neutral,Fair
1867,1934,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Unfair,Fair,Fair,,Fair,Very Fair,Neutral,Somewhat Fair,Neutral,Unfair
1868,1325,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Neutral,Neutral,Somewhat Unfair,Very Unfair,Somewhat Unfair,Neutral,Neutral,Unfair,Somewhat Fair,Very Unfair
1869,1058,50-59,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Fair,Somewhat Fair,Fair,Neutral,Fair,Somewhat Fair,Somewhat Fair,Neutral
1870,1867,18-29,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,properties first,Unfair,Very Fair,Fair,Neutral,Unfair,Neutral,Somewhat Fair,Somewhat Unfair,Fair,Somewhat Fair
1871,1379,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Somewhat Fair
1872,450,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Unfair,Unfair,Neutral,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair
1873,417,50-59,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Fair
1874,1951,30-39,Bachelor,Male,,75000-100000,false,false,true,false,false,,cps,properties first,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Fair
1875,2193,18-29,Bachelor,Female,,50000-75000,false,false,false,true,true,,cps,fairness first,Fair,Fair,Unfair,Unfair,Somewhat Unfair,Unfair,Unfair,Unfair,Fair,Fair
1876,1726,18-29,Bachelor,Male,,75000-100000,false,false,false,true,true,,cps,fairness first,Somewhat Unfair,Very Fair,Very Fair,Fair,Unfair,Fair,Unfair,Fair,Very Fair,Very Fair
1877,1857,30-39,Bachelor,Male,,75000-100000,false,true,false,false,false,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Fair,Very Fair,Neutral,Somewhat Fair
1878,866,30-39,Associate or Diploma,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Fair,Somewhat Fair,Fair,Neutral,Somewhat Unfair,Fair,Very Fair,Somewhat Unfair,Neutral,Fair
1879,1748,18-29,Graduate,Male,,75000-100000,false,false,false,false,true,,cps,properties first,Fair,Somewhat Fair,Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Very Fair
1880,586,50-59,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Fair,Very Fair,Fair,Fair,Somewhat Fair,Very Fair,Very Fair,Fair,Very Fair,Very Fair
1881,1251,40-49,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Unfair,Fair,Fair,Fair,Unfair,Somewhat Fair,Fair,Fair,Fair,Fair
1882,1245,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Fair,Neutral,Fair,Unfair,Fair,Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair
