Study ID,Completion Time (s),Respondent Age,Respondent Education,Respondent Gender,Respondent Gender Other,Respondent Income,Aboriginal,Asian,Black,Caucasian,Hispanic,Ethnicity Other,Domain,Question Order Version,Child Demographics,Child CPS,Child Justice,Child Welfare,Parent Demographics,Parent Welfare,Perp Demographics,Perp Welfare,All CPS,All Health
1907,975,30-39,Bachelor,Male,,<25000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Fair,Fair,Neutral,Fair,Neutral,Fair,Fair,Fair
1908,3204,50-59,Graduate,Male,,>100000,false,false,false,true,false,,cps,properties first,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair
1909,1027,50-59,High School,Male,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Unfair
1910,1359,18-29,Bachelor,Nonbinary,,<25000,false,false,false,true,false,,cps,fairness first,Very Unfair,Somewhat Fair,Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Unfair
1911,910,50-59,Associate or Diploma,Female,,<25000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair
1912,515,30-39,Graduate,Male,,>100000,false,false,false,true,false,,cps,fairness first,Very Unfair,Fair,Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Somewhat Unfair
1913,1195,30-39,High School,Female,,<25000,false,true,false,true,false,,cps,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Neutral,Neutral
1914,987,30-39,Graduate,Male,,50000-75000,false,true,false,false,false,,cps,properties first,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair,Very Fair,Somewhat Fair,Somewhat Fair
1915,429,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Neutral,Fair,Somewhat Fair,Fair,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Neutral
1916,2815,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Very Unfair,Neutral,Very Unfair,Unfair,Neutral,Somewhat Unfair,Very Unfair,Unfair,Somewhat Fair,Somewhat Unfair
1917,765,30-39,High School,Male,,<25000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Somewhat Fair
1918,2896,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Very Unfair,Unfair,Somewhat Fair,Neutral,Very Unfair,Very Unfair,Neutral,Somewhat Unfair,Neutral,Unfair
1919,391,30-39,Graduate,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair
1920,1802,18-29,Bachelor,,,25000-50000,false,true,false,false,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1921,1447,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Very Fair,Somewhat Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Unfair,Very Fair,Very Fair
1922,934,70 up,Associate or Diploma,Female,,75000-100000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Somewhat Fair,Neutral,Fair,Very Fair,Neutral,Neutral,Very Fair,Somewhat Fair
1923,313,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Somewhat Fair,Very Fair,Somewhat Fair
1924,3084,30-39,High School,Male,,25000-50000,false,false,true,false,false,,cps,properties first,Unfair,Fair,Neutral,Unfair,Unfair,Unfair,Fair,Unfair,Fair,Neutral
1925,1708,18-29,Associate or Diploma,Male,,75000-100000,false,false,true,false,false,,cps,fairness first,Somewhat Fair,Very Fair,Somewhat Unfair,Very Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Very Fair,Fair
1926,2475,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Unfair
1927,1871,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Neutral,Neutral,Somewhat Fair,Somewhat Fair,Fair,Fair
1928,678,30-39,High School,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Neutral,Very Fair,Very Unfair,Very Fair,Very Unfair,Very Fair,Very Fair,Very Fair
1929,574,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Neutral,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Neutral,Neutral,Somewhat Fair,Neutral,Neutral
1930,1922,30-39,Graduate,Male,,50000-75000,false,false,true,false,false,,cps,properties first,Very Fair,Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Fair
1931,1828,30-39,Bachelor,Female,,25000-50000,false,true,false,false,false,,cps,properties first,Neutral,Somewhat Fair,Somewhat Fair,Very Fair,Fair,Neutral,Fair,Fair,Neutral,Fair
1932,952,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Neutral,,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair,Somewhat Fair,Somewhat Fair
1933,562,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Very Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Very Fair,Fair
1934,3082,30-39,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,properties first,Very Unfair,Somewhat Fair,Very Unfair,Somewhat Fair,Very Unfair,Very Fair,Unfair,Somewhat Fair,Fair,Fair
1935,2233,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Neutral,Somewhat Fair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair,Fair
1936,941,50-59,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair
1937,784,18-29,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Fair,Fair,Neutral,Neutral,Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Somewhat Unfair,Fair
1938,1591,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Neutral,Unfair,,Neutral,Very Fair,Neutral,Fair
1939,3074,30-39,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Very Unfair,Fair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Fair
1940,1851,30-39,Bachelor,Male,,25000-50000,false,false,true,false,false,,cps,fairness first,Very Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Very Unfair,Very Unfair,Very Fair,Fair,Fair,Fair
1941,1348,30-39,High School,Male,,>100000,false,false,false,true,false,,cps,fairness first,Very Unfair,Neutral,Somewhat Unfair,Fair,Very Unfair,Fair,Very Unfair,Somewhat Fair,Neutral,Somewhat Fair
1942,667,40-49,Associate or Diploma,Male,,<25000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Very Fair,Fair,Neutral,Fair,Neutral,Fair,Neutral,Very Fair,Very Fair
1943,2639,50-59,Bachelor,Female,,<25000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Fair,Fair,Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair
1944,604,40-49,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Somewhat Unfair,Very Fair,Somewhat Unfair,Very Fair,Very Fair,Very Fair
1945,2164,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Neutral,Somewhat Fair,Fair,Somewhat Fair,Fair,Neutral,Somewhat Fair,Neutral
1946,2232,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Neutral,Somewhat Fair,Somewhat Fair
1947,2542,18-29,High School,Male,,<25000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Neutral,Neutral,Fair,Fair
1948,624,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Somewhat Fair,Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Fair,Somewhat Fair,Fair
1949,1310,18-29,Bachelor,Male,,<25000,false,false,false,false,true,,cps,properties first,Fair,Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair
1950,1577,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Somewhat Fair,Neutral,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Fair,Fair
1951,673,40-49,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Fair,Very Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Unfair,Fair,Fair,Somewhat Fair
1952,1120,30-39,Graduate,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Very Fair,Very Fair,Fair,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Fair,Very Fair
1953,2087,50-59,High School,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair
1954,2069,18-29,High School,Female,,<25000,false,false,true,false,false,,cps,fairness first,Somewhat Fair,Fair,Fair,Fair,Somewhat Fair,Very Fair,Somewhat Fair,Very Fair,Fair,Neutral
1955,1804,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Fair,Somewhat Fair,Very Fair,Unfair,Very Fair,Neutral,Fair,Fair,Fair
1956,2356,30-39,Graduate,Female,,<25000,false,true,false,false,false,,cps,properties first,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1957,1389,40-49,Graduate,Female,,>100000,false,false,true,false,false,,cps,fairness first,Very Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Unfair,Unfair,Very Unfair
1958,2217,30-39,High School,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Neutral,Neutral,Neutral,Somewhat Unfair,Unfair,Somewhat Unfair,Unfair,Fair,Somewhat Fair
1261,1188,18-29,High School,Female,,>100000,false,false,false,true,false,,cps,properties first,Very Unfair,Fair,Fair,Fair,Very Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair,Somewhat Fair
1262,2228,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Very Fair,Somewhat Fair,Fair,Very Fair,Fair,Somewhat Fair,Very Fair,Fair,Fair,Fair
1263,567,18-29,Graduate,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Unfair,Somewhat Unfair,Very Unfair,Unfair,Somewhat Unfair,Unfair,Very Unfair,Somewhat Unfair,Unfair
1264,1186,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Fair,Fair,Fair,Fair
1265,677,18-29,Graduate,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Neutral,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Very Fair
1266,1395,18-29,Bachelor,Female,,50000-75000,false,true,false,true,false,,cps,fairness first,Unfair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Unfair,Fair,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair
1267,2431,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Somewhat Fair,Fair,Fair,Somewhat Unfair,Fair,Neutral,Unfair,Neutral
1268,1392,30-39,High School,Female,,25000-50000,false,true,false,false,false,,cps,properties first,Somewhat Unfair,Very Fair,Fair,Fair,Fair,Somewhat Fair,Somewhat Unfair,Fair,Somewhat Unfair,Somewhat Unfair
1269,1226,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Fair,Fair,Unfair,Fair,Very Unfair,Fair,Fair,Unfair
1270,2145,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Very Fair,Fair,Fair,Very Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Somewhat Fair
1271,1458,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Fair,Fair,Somewhat Unfair,Fair,Somewhat Unfair,Very Fair,Very Fair,Somewhat Fair
1272,2807,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Neutral,Very Fair,Somewhat Fair,Unfair,Very Fair,Fair,Very Unfair,Fair,Neutral,Unfair
1273,944,30-39,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Neutral,Very Fair,Fair,Fair,Neutral,Fair,Neutral,Fair,Fair,Somewhat Fair
1274,790,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Unfair,Fair,Somewhat Fair,Somewhat Fair,Fair,Somewhat Unfair,Neutral,Fair,Neutral,Neutral
1275,532,40-49,Bachelor,Female,,>100000,false,true,false,false,false,,cps,properties first,Somewhat Fair,Fair,Somewhat Fair,Fair,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Fair
1276,1779,60-69,Bachelor,Male,,75000-100000,false,false,true,false,false,,cps,fairness first,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Fair
1277,1025,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Very Fair,Fair,,Very Fair,Very Fair,Fair,Fair,Somewhat Fair,Very Fair,Fair
1278,968,70 up,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Somewhat Fair,Somewhat Unfair,Fair,Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Unfair,Somewhat Fair
1279,3534,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Very Fair,Somewhat Fair,Somewhat Fair,Fair,Neutral,Somewhat Fair,Very Fair,Fair,Neutral
1280,817,50-59,High School,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Neutral,Very Fair,Somewhat Unfair,Somewhat Unfair,Neutral,Somewhat Unfair,Neutral,Somewhat Unfair,Very Fair,Fair
1281,425,30-39,Associate or Diploma,Male,,<25000,false,false,false,true,false,,cps,properties first,Fair,Fair,Fair,Fair,Fair,Fair,Neutral,Very Fair,Fair,Fair
1282,1646,30-39,Bachelor,Male,,75000-100000,false,false,true,false,false,,cps,properties first,Somewhat Fair,Very Fair,Somewhat Fair,Fair,Unfair,Somewhat Unfair,Unfair,Fair,Somewhat Fair,Fair
1283,2617,30-39,Bachelor,Female,,25000-50000,false,true,false,false,false,,cps,fairness first,Neutral,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Unfair,Neutral,Somewhat Fair,Fair,Somewhat Fair
1284,1661,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Fair,Fair,Fair,Unfair,Fair,Unfair,Fair,Unfair,Fair,Fair
1285,1721,30-39,Bachelor,Male,,50000-75000,false,false,false,false,true,,cps,fairness first,Somewhat Unfair,Very Fair,Neutral,Very Fair,Unfair,Very Fair,Unfair,Fair,Very Fair,Somewhat Fair
1286,2410,18-29,Graduate,Male,,<25000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Fair,Fair,Very Fair,Somewhat Fair,Fair,Fair,Fair,Neutral,Fair
1287,2155,18-29,Bachelor,Male,,50000-75000,false,true,false,false,false,,cps,fairness first,Neutral,Very Fair,Fair,Fair,Neutral,Fair,Neutral,Very Fair,Fair,Fair
1288,894,18-29,High School,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Neutral,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Fair,Neutral
1289,844,40-49,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Fair,Neutral,Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Very Fair,Very Fair
1290,3003,40-49,Graduate,Female,,75000-100000,false,false,false,false,true,,cps,fairness first,Fair,Fair,Fair,Very Fair,Fair,Fair,Fair,Fair,Fair,Fair
1291,2104,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Fair,Fair,Very Fair,Very Fair,Fair,Very Fair,Fair,Fair,Somewhat Fair,Fair
1292,1477,18-29,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,properties first,Unfair,Very Fair,Very Fair,Somewhat Fair,Somewhat Unfair,Fair,Somewhat Fair,Very Fair,Very Fair,Neutral
1293,3338,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Neutral,Somewhat Unfair,Fair,Somewhat Fair,Fair,Neutral,,Neutral,,Somewhat Fair
1294,2437,18-29,Bachelor,Female,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Neutral,Neutral,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Unfair,Fair,Somewhat Fair,Neutral
1295,734,18-29,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Neutral,Somewhat Fair,Neutral,Somewhat Fair,Somewhat Unfair,Neutral,Somewhat Fair,Fair,Somewhat Unfair,Fair
1296,1803,30-39,Bachelor,Female,,25000-50000,false,false,true,false,false,,cps,properties first,Somewhat Fair,Very Fair,Unfair,Somewhat Fair,Neutral,Fair,Neutral,Very Fair,Neutral,Fair
1297,3127,18-29,Associate or Diploma,Male,,>100000,false,false,false,false,true,,cps,properties first,Neutral,Somewhat Fair,Neutral,Fair,Fair,Neutral,Somewhat Fair,Neutral,Fair,Neutral
1298,2366,30-39,Graduate,Male,,<25000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Fair
1299,370,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,properties first,Very Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Very Unfair,Somewhat Fair,Very Unfair,Fair,Somewhat Unfair,Unfair
1300,963,50-59,Graduate,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Fair,Somewhat Unfair,Unfair,Unfair,Very Unfair,Unfair,Fair,Somewhat Fair
1301,1880,30-39,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair
1302,501,30-39,Bachelor,Male,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Unfair,Unfair,Unfair,Very Unfair,Neutral,Very Unfair,Unfair,Neutral,Somewhat Fair
1303,3596,30-39,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Fair,Fair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Neutral,Neutral
1304,2891,50-59,Associate or Diploma,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Fair,Fair,Very Fair,Fair,Very Fair,Fair,Very Fair,Very Fair
1305,1814,30-39,Bachelor,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Very Fair,Very Fair,Very Fair,Unfair,Fair,Fair,Fair,Somewhat Fair,Neutral
1306,1258,18-29,High School,Male,,<25000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Very Fair,Fair,Neutral,Very Fair,Neutral,Very Fair,Very Fair,Somewhat Unfair
1307,1037,60-69,High School,Male,,<25000,false,false,false,true,false,,cps,fairness first,Very Fair,Very Fair,Fair,Very Fair,Somewhat Unfair,Somewhat Fair,Unfair,Somewhat Fair,Very Fair,Fair
1308,2529,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,false,true,,cps,fairness first,Neutral,Very Fair,Fair,Somewhat Fair,Very Unfair,Somewhat Unfair,Unfair,Fair,Very Fair,Very Fair
1309,909,40-49,Associate or Diploma,Male,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Fair,Somewhat Fair,Somewhat Fair,Unfair,Fair,Unfair,Fair,Fair,Somewhat Fair
1310,3297,30-39,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Fair,Somewhat Unfair,Fair,Neutral,Fair,Somewhat Unfair,Somewhat Fair,Somewhat Fair,Somewhat Unfair
1311,676,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Fair,Fair,Very Fair,Somewhat Fair,Fair
1312,2183,30-39,Graduate,Male,,75000-100000,false,false,false,true,false,,cps,properties first,Fair,Fair,Fair,Somewhat Fair,Very Fair,Somewhat Fair,Neutral,Neutral,Very Fair,Very Fair
1313,1188,18-29,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Very Unfair,Unfair,Very Unfair,Unfair,Very Unfair,Unfair,Very Fair,Somewhat Unfair
1314,2756,18-29,Bachelor,Male,,<25000,false,true,false,false,false,,cps,properties first,Fair,Somewhat Fair,Fair,Fair,Very Fair,Somewhat Fair,,Fair,Fair,Somewhat Fair
1315,556,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Somewhat Fair,Unfair,Fair,Fair,Fair,Unfair
1316,1700,30-39,Graduate,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Neutral,Neutral,Fair,Somewhat Fair,Fair,Somewhat Fair,Fair,Fair
1317,1446,40-49,Bachelor,Female,,<25000,false,true,false,false,false,,cps,properties first,Neutral,Fair,Fair,Fair,Neutral,Fair,Neutral,Fair,Fair,Fair
1318,1682,30-39,Bachelor,Female,,>100000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Somewhat Unfair,Very Unfair,Very Unfair,Very Unfair,Unfair,Unfair,Fair,Somewhat Fair
1319,746,30-39,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Unfair
1320,2484,30-39,High School,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Very Unfair,Very Fair,Somewhat Fair,Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Fair,Unfair
1321,1034,18-29,Associate or Diploma,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Somewhat Fair,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair,Fair,Fair
1322,1375,18-29,High School,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Fair,Neutral,Somewhat Fair,Unfair,Very Unfair,Somewhat Fair,Fair,Somewhat Fair,Somewhat Unfair
1323,1500,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,properties first,Fair,Very Fair,Fair,Very Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Very Fair
1324,1440,40-49,Bachelor,Male,,75000-100000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Very Fair,Somewhat Fair,Very Fair,Very Fair
1325,2796,30-39,Bachelor,Male,,25000-50000,false,false,false,false,true,,cps,properties first,Very Fair,Unfair,Somewhat Fair,Fair,Fair,Fair,Very Fair,Very Fair,Somewhat Fair,Somewhat Fair
1326,857,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,fairness first,Somewhat Unfair,Somewhat Fair,Neutral,Somewhat Fair,Fair,Fair,Unfair,Somewhat Unfair,Neutral,Neutral
1327,873,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Very Fair,Fair,Very Fair,Fair,Very Fair,Fair,Fair,Fair,Very Fair,Very Fair
1328,858,30-39,Bachelor,Female,,25000-50000,false,false,false,true,false,,cps,properties first,Fair,Neutral,Fair,Fair,Neutral,Fair,Neutral,Fair,Fair,
1329,650,18-29,High School,Female,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Fair,Somewhat Unfair,Neutral,Neutral,Very Unfair,Somewhat Fair,Unfair,Very Unfair,Somewhat Fair,Somewhat Fair
1330,1464,18-29,Bachelor,Male,,25000-50000,false,true,false,false,false,,cps,fairness first,Unfair,Somewhat Unfair,Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Fair,Fair,Unfair,Neutral
1331,619,30-39,Bachelor,Female,,75000-100000,false,false,false,true,false,,cps,fairness first,Unfair,Unfair,Unfair,Very Unfair,Somewhat Unfair,Somewhat Unfair,Unfair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair
1332,1473,50-59,Associate or Diploma,Male,,50000-75000,false,false,false,true,false,,cps,fairness first,Unfair,Fair,Fair,Somewhat Fair,Unfair,Somewhat Fair,Unfair,Fair,Fair,Fair
1333,2196,18-29,Bachelor,Male,,>100000,false,false,false,true,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Fair,Fair,Fair,Fair,Fair,Fair,Somewhat Fair,Fair
1334,2161,50-59,Graduate,Male,,>100000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Fair,Somewhat Unfair,Unfair,Unfair,Unfair,Unfair,Unfair,Very Fair,Somewhat Fair
1335,1380,40-49,Bachelor,Male,,50000-75000,false,false,false,true,false,,cps,properties first,Somewhat Unfair,Fair,Fair,Somewhat Unfair,Somewhat Unfair,Somewhat Unfair,Very Fair,Fair,Somewhat Unfair,Somewhat Fair
1336,836,60-69,High School,Male,,75000-100000,false,false,false,true,false,,cps,fairness first,Unfair,Very Fair,Fair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Somewhat Unfair,Somewhat Fair,Fair,Very Fair
1337,993,18-29,Associate or Diploma,Male,,50000-75000,false,false,true,false,false,,cps,fairness first,Somewhat Fair,Somewhat Fair,Very Fair,Neutral,Unfair,Somewhat Fair,Somewhat Unfair,Neutral,Somewhat Fair,Somewhat Fair
1338,1087,40-49,Bachelor,Male,,>100000,false,false,false,true,false,,cps,properties first,Unfair,Very Fair,Unfair,Very Fair,Unfair,Neutral,Unfair,Fair,Fair,Fair
1339,428,40-49,High School,Female,,50000-75000,false,false,false,true,false,,cps,fairness first,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair,Very Unfair
