Prediction,Accuracy,Error,Reliability,Relevance,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Within Hos,0.7737820512820514,0.001197857548388049,0.18278147614399629,0.40047549901862606,0.17971017970934547,0.15180567637786924,0.363041179715848,0.27260012670885403,,-0.3225407269070752
Within Hos,0.7682179487179487,0.0012227204000380089,0.17388405144609886,0.3863058609514297,0.21060100662650977,0.13227589686594243,0.3508273489149958,0.327613439242082,-0.30164949493711696,
Within Hos,0.7197179487179487,0.001222329909893529,0.43481935055523374,,,,,,,
Within Hos,0.7895641025641028,0.0011357883588055046,,0.5991588976836685,,,,,,
Within Hos,0.7156538461538461,0.0011962070689690487,,,0.3077841965878616,,,,,
Within Hos,0.7116153846153845,0.001146268418953546,,,,0.07959310974538572,,,,
Within Hos,0.7212564102564102,0.0011903109870534147,,,,,0.5351097044570571,,,
Within Hos,0.713076923076923,0.0011603656126391213,,,,,,0.05700795387136449,,
Within Hos,0.7086153846153845,0.0011429660800818255,,,,,,,-0.18204614965115365,
Within Hos,0.7003846153846153,0.0011786194935225838,,,,,,,,-0.20558264454023295
Within Loan,0.8318850574712643,0.0010032146600211492,-0.10051721815768619,1.2133899276931759,-0.3843399635662283,0.3772666484251445,-0.01632631291320329,-0.20514997469132426,-0.2560893089931465,0.10216787350601572
Within Loan,0.8356666666666667,0.0009546244253415433,,1.145605501787476,-0.3942944358877026,0.36714116649459044,-0.006166142405359111,-0.1983324391825379,-0.25459499806478775,0.11018306569047234
Within Loan,0.7941954022988506,0.0011033997948036347,0.46131463861491556,,-0.3010028542080126,0.2949704241024068,0.5039037964292831,-0.2305104363414558,-0.4010215818090331,0.2639346113135904
Within Loan,0.8322183908045977,0.0009899754517327987,-0.1434991705293404,1.1521229069109786,,0.24740717666064277,-0.015326919569490118,-0.23331570815092728,-0.30577644908335705,0.09858296395965162
