Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Within Bail,0.724402985074627,0.0008210343499254831,0.16417895413526587,0.40990460927734446,0.007179425643834779,0.07509987279413119,0.23666123569809208,0.0416325020118336,,-0.19718315715095222
Within Bail,0.7198805970149255,0.0008003220414013099,0.1477952871138168,0.392903889457073,-0.01908837078119332,0.049961050694290306,0.23457308608378552,-0.0024668533721747266,-0.06520301322505144,
Within Bail,0.6490746268656717,0.0007490060800170531,0.44847198264745286,,,,,,,
Within Bail,0.7296865671641792,0.000745082631994783,,0.5863091658332217,,,,,,
Within Bail,0.5907114427860697,0.001063576550905928,,,0.2316966717316572,,,,,
Within Bail,0.5998905472636816,0.0008480941900686572,,,,0.2226052288962421,,,,
Within Bail,0.6677611940298507,0.0007439426430652338,,,,,0.4643202909752949,,,
Within Bail,0.5774129353233832,0.0009515500061463915,,,,,,0.1833030871682436,,
Within Bail,0.5667611940298507,0.0010284096939236708,,,,,,,0.16252398639970764,
Within Bail,0.5539203980099503,0.0007692910754937479,,,,,,,,0.116783033870193
Within Unem,0.638859375,0.0010769333860271093,-0.09263332063344239,0.5003952465304061,0.09687782630229959,0.1121226581586874,0.11564249183712452,-0.05280728985496659,0.05357202099924567,0.038907371695894
Within Unem,0.641671875,0.001169697468055801,,0.45091841369845664,0.10438497743634809,0.12340777523603237,0.11670153590461697,-0.05032542283031464,0.05434699937066407,0.029144433111231133
Within Unem,0.5617265625,0.001101731095422774,0.1399261496324914,,0.07209593189799801,0.16382217814581718,0.20765457803940335,-0.13251590141071384,-0.005376608055982427,0.038251448335372744
Within Unem,0.636765625,0.0011086072414860234,-0.1031354109149884,0.4942694746230151,,0.12699096029031315,0.1024809118895569,-0.038171206058711764,0.06957189472279891,0.0531790941175844
Within Unem,0.6418125,0.0010538796991273402,-0.11676629269807684,0.5194536652589891,0.1174930508868864,,0.13330533010534906,-0.07060551028184515,0.04355030696898822,0.0443861553168829
Within Unem,0.652109375,0.001099507916248113,-0.09385749258180193,0.526293090414275,0.08316948483769511,0.12428260414663969,,-0.011783205146570747,0.07024157576927505,0.041621503360174325
Within Unem,0.6428046875,0.0011047204886493395,-0.09169403089059514,0.5075438897247464,0.09264161930383527,0.11551606146429587,0.10373717076486065,,0.03755830575079864,0.02592288638446979
Within Unem,0.6424375,0.0010692258085957648,-0.0933128527370287,0.49551461910434047,0.10165489211366183,0.11014249245408958,0.1209007378643259,-0.035648638305254624,,0.06379277863891801
Within Unem,0.6440703125,0.0011537220921758273,-0.08953235482473261,0.500066847812169,0.09979785802933296,0.11279055491263368,0.11607961654430098,-0.043339370397296594,0.07038300635572448,
Within Unem,0.5436875,0.0011103025868358294,0.12386901643530873,,,,,,,
Within Unem,0.645453125,0.0009214109659049891,,0.4455513212231321,,,,,,
Within Unem,0.525203125,0.0013737085963659121,,,0.04373316902133375,,,,,
Within Unem,0.582921875,0.0011188938977462468,,,,0.179862568937945,,,,
Within Unem,0.58165625,0.0011684864045701025,,,,,0.18030501120680767,,,
Within Unem,0.54271875,0.0015532638052698135,,,,,,-0.047087385793300254,,
Within Unem,0.53728125,0.001329479432874927,,,,,,,-0.010777542340760086,
Within Unem,0.5428515625,0.0013052648584206854,,,,,,,,0.024306870626240148
Within CPS,0.7670432692307693,0.0007033273685829046,0.0548595715620338,0.6937446682847345,0.06276868851596447,0.10755282405760411,0.06084011149669641,0.010985624437025604,-0.07844081908450852,-0.04935867595685903
Within CPS,0.7677019230769231,0.0006991850250085722,,0.7199805718602567,0.054296243929987976,0.11102508936470705,0.05408121702517179,0.015894380567978938,-0.0766633023297262,-0.04299765460736336
Within CPS,0.7080721153846155,0.0008257855220916916,0.32967612410197433,,0.13826379248397358,0.16250817363429393,0.2605921342690097,-0.04305657605236332,-0.1286352893341755,-0.05730453977889903
Within CPS,0.7696923076923077,0.0006937352670087472,0.041661670344008736,0.7057624647447841,,0.11697601074217676,0.06337987848967298,0.02646019585855005,-0.08165758374966127,-0.036179247538196437
Within CPS,0.7651826923076924,0.0007320051892778316,0.06338544074553154,0.7059924448181155,0.07918655216383663,,0.08904959375688984,0.02785951473769071,-0.07915018671951236,-0.0320304660818569
Within CPS,0.768298076923077,0.0007044513514702383,0.047180848708034726,0.7144467899091808,0.06453114620258145,0.11954367580398356,,0.030311435902898802,-0.07504812486769322,-0.04650409979728142
