Prediction,Accuracy,Error,Reliability,Accuracy,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
All Domains,0.6588948979591837,0.00036355160531632754,,,,0.2084427644079601,,0.06885770130155497,-0.09191869187675764,0.08912369486220699
All Domains,0.7123428571428572,0.00033954226529920906,,,,0.15054574973062124,0.4099901108350246,,-0.16300220115792666,0.06466885672423985
All Domains,0.7117265306122449,0.00034040244517113765,,,,0.15701200414423908,0.415820967851532,-0.11688215052456699,,0.00995019123967275
All Domains,0.7109510204081633,0.0003446930382118506,,,,0.1623904020377215,0.4270958352968918,-0.055137991052655884,-0.09607569413197659,
All Domains,0.6487775510204081,0.0003417605321262415,,,0.17191937005376845,,,0.06342165023783582,-0.1061390441791324,0.09501468683807404
All Domains,0.7094867346938775,0.0003302964707765138,,,0.13763825120122333,,0.424501628914434,,-0.17976944498746797,0.06118501394441881
All Domains,0.7057275510204082,0.0003437408280699962,,,0.14403875367873809,,0.43231979289645506,-0.1323995337231155,,0.0012673470565942762
All Domains,0.7089959183673469,0.00034150021228359723,,,0.1553231102278042,,0.44464697947776266,-0.06858011353807306,-0.11084250561533783,
All Domains,0.6630173469387756,0.0003581722165259705,,,0.13425677550503518,0.18343733051441094,,,-0.07769218517605202,0.07108662116844071
All Domains,0.6600591836734693,0.00036972743588236653,,,0.12678464778701296,0.1827639637448003,,0.007749510128957911,,0.016759326566495536
All Domains,0.66275,0.00034817367169802084,,,0.13626306299751326,0.18672473646525883,,0.05418797062656325,-0.06353724979717564,
All Domains,0.7069897959183672,0.00033377564199688943,,,0.0984243758399737,0.13153275458373226,0.371446920711456,,,-0.06531888104532238
All Domains,0.7095336734693879,0.00032433313086474515,,,0.11353347921804854,0.13096683407787668,0.40341537597941596,,-0.15018426087514272,
All Domains,0.7112122448979592,0.00034983990715567237,,,0.11040998698285004,0.13156054200162867,0.4086605682334395,-0.14082655562434865,,
All Domains,0.6980102040816325,0.00034695244437225414,0.35534603783133883,,,,,0.12326574864790153,-0.09810939516490284,0.08839832057425966
All Domains,0.7191530612244897,0.00032641488291537554,0.30568580377485916,,,,0.40989870626567676,,-0.14550784271595382,0.06413324245703961
All Domains,0.7174551020408163,0.0003311976929572302,0.3056414791670507,,,,0.40732245319309623,-0.07198728249291418,,0.002889641135245653
All Domains,0.7179469387755103,0.00033572902781741693,0.3110916105407438,,,,0.4184815944365673,-0.01121253878607794,-0.10057225578852384,
All Domains,0.7002306122448979,0.0003403488394910022,0.33276176203741914,,,0.193847742520561,,,-0.047867872169665114,0.06425932498943553
All Domains,0.7027755102040817,0.0003384951532982032,0.3382653131905932,,,0.187458746379263,,0.060888862917276416,,0.002382541766478454
All Domains,0.7029867346938775,0.00034492804924733927,0.34225710757731886,,,0.19123970406297472,,0.10363218806584175,-0.0653845090718827,
All Domains,0.7200581632653061,0.0003193262676065827,0.3021769795231529,,,0.1370075741291261,0.35631193290059254,,,-0.05388483005353791
All Domains,0.722195918367347,0.00033537840731602927,0.2984205855891286,,,0.1395289429982822,0.3838666185915361,,-0.12152844432568055,
All Domains,0.7223071428571428,0.00032764920294314336,0.2919742681998912,,,0.13750728799864528,0.38054442891649476,-0.09156458204718822,,
All Domains,0.6924142857142859,0.0003472649449097971,0.36539415364334454,,0.2037321540908978,,,,-0.06690296337998826,0.052070981484442676
All Domains,0.6941887755102041,0.0003403351366271913,0.36921753339142743,,0.19197799018059253,,,0.04495285542020999,,-0.01206490544899466
All Domains,0.6936571428571429,0.0003509397534676835,0.3732029196009402,,0.19918049464288673,,,0.09094638021659968,-0.0845266654381367,
All Domains,0.7229346938775509,0.0003451361118148932,0.3269244193948814,,0.15476121537042037,,0.36076936026453876,,,-0.07761722866635548
All Domains,0.7305428571428572,0.0003405607693412303,0.321293935007302,,0.16363415779129137,,0.3876740568760958,,-0.14613353076734353,
All Domains,0.7253000000000001,0.00034560408978568123,0.31297783811848473,,0.15684867033279457,,0.3874310734610325,-0.11615262548159698,,
All Domains,0.7024948979591837,0.0003572442196458486,0.35032215893343915,,0.16010047115978407,0.15579972567059283,,,,-0.017996047396416626
All Domains,0.701380612244898,0.00035842593538785056,0.351131409734273,,0.16838795573298068,0.15825214970790002,,,-0.05106194972036336,
All Domains,0.7011704081632654,0.0003610321371486431,0.3480962268386291,,0.14984480915494053,0.15103452332175507,,0.01862677790898423,,
All Domains,0.7240173469387755,0.00034574138274531596,0.3082260826200074,,0.10697689025725188,0.10094090182330055,0.3227096760509756,,,
All Domains,0.6588785714285714,0.0003373045084059053,,,,,,0.09906890138548023,-0.09853778728518713,0.13776894535998035
All Domains,0.7115795918367348,0.00035321560373296985,,,,,0.44134831899110893,,-0.16680189748318183,0.10082088833143234
