Prediction,Accuracy,Error,Reliability,Privacy,Volitionality,Causes Outcome,Causes Cycle,Causes Disparity,Caused by Group
Within CPS,0.7728039215686275,0.0009813159356198004,0.4999415422074588,-0.06866006479064776,0.15512349308111617,0.6665529935442175,,-0.11901072459135142,4.552584306349995e-05
Within CPS,0.7710392156862744,0.0009444595950549924,0.507969888988943,-0.07541355060400048,0.14859479465748376,0.6831932349638711,-0.041343465486091496,,-0.045190498398026836
Within CPS,0.7736013071895426,0.000969011497601368,0.5015688734966979,-0.06724950584429737,0.15265336842096167,0.6598520161484843,0.047213061386917395,-0.15168717915024138,
Within CPS,0.6851307189542484,0.0009344992310090678,0.388918174284457,,,,,,
Within CPS,0.6404640522875816,0.0008913249135536873,,0.07659758971503469,,,,,
Within CPS,0.669,0.0010619648180041482,,,0.3555577586040678,,,,
Within CPS,0.7543790849673203,0.0008141681111631415,,,,0.5993791896156148,,,
Within CPS,0.6479477124183006,0.000885611602195539,,,,,0.024023853469390368,,
Within CPS,0.6474771241830065,0.0009081724914227902,,,,,,-0.14556264217057382,
Within CPS,0.6474313725490195,0.0008693410575000502,,,,,,,0.028525124474126078
Within Hos,0.7147818181818182,0.0010718804834243193,0.05018800431869881,-0.062295478192235715,-0.035876574554703264,0.6349765839178159,-0.2427427726509698,-0.22901417825248294,0.08881962736925808
Within Hos,0.7171818181818183,0.0010894786933792967,,-0.06308441442302898,-0.03645843291822753,0.6362573640322251,-0.2487502847832678,-0.2291788980217791,0.09025004256557238
Within Hos,0.7154454545454545,0.0010506100059919836,0.05215852039586642,,-0.04940643081285117,0.6319996467309602,-0.24408714677022492,-0.23181507085613545,0.09135347382498624
Within Hos,0.7177363636363636,0.001056741878422772,0.051278322026926976,-0.07270702320602683,,0.6338334030231948,-0.24259605380577842,-0.22740357189914162,0.08339575049936808
Within Hos,0.6815818181818181,0.0009922525187313442,0.0647099266158856,-0.005480666075322353,-0.0513609413566866,,0.03456002473166299,-0.2918315853079878,0.1073257499155013
Within Hos,0.7186181818181818,0.0010537273915942212,0.07919048369377517,-0.060148256740827195,-0.04108753422391091,0.5467589552629156,,-0.3159600071634644,0.04030379533407031
